age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500
-0.15397346938192039,-0.2223649734313542,0.226415177213465,1.0297808729959235,16,2,-0.050778583707021326,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.18205013524416824,1
-0.5184221958800795,-0.456338745095327,0.12008113143722018,-0.030764128759614116,5,2,-0.06070254831592342,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.4475368430457585,1
1.3027827797117846,0.49979663622096215,-0.8594789770954098,-1.1818940269057001,5,1,0.010182913176234445,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.6763568193669638,1
2.125838475430471,1.1925055911847258,1.4640492751986711,0.8494519771403476,6,1,-0.06070254831592342,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.6763568193669638,1
1.1429894106453988,0.3653096285106745,0.7180194275239762,0.5714050592501535,7,1,-0.10795952264402867,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.9785102586489391,0
-0.18681100672506268,-0.14960750226008873,-0.19613496102401407,-0.601965112753663,4,2,0.24646778481676068,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.9785102586489391,0
-0.8850680812029015,-1.049560936105405,-0.7222662673710415,-0.5535120519762603,3,2,-0.12069528195115047,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.1453834037637833,1
0.963501508841581,1.8354543532956824,2.501751486739959,1.906024465833944,22,3,-0.001631330405791866,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.9785102586489391,1
-0.9310486231517539,-1.3802644880650023,-0.8440230615209461,-1.1683816832059577,1,1,-0.1308791551931597,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.9785102586489391,0
-0.8850680812029015,-0.17448759868649188,-0.8594789770954098,-0.6273949956392298,4,5,-0.08433102130288375,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,-0.7130235508473488,1
0.5180375442267646,-0.01142210183776832,0.451753139472918,0.22025810173109522,5,2,2.2785176809252863,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.18205013524416824,1
0.9087722799363441,0.16818529695932072,-0.8594789770954098,-1.1818940269057001,2,1,-0.07960533804716552,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.08343657255742204,1
1.5140296136175462,0.677588460413962,1.1323772671629735,0.5594875200643291,2,1,-0.08433103547997604,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.9785102586489391,1
-0.5523383384644199,-1.0615302797916206,-0.8594789770954098,-1.1818940269057001,3,1,-0.12901250470719955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-0.4475368430457585,1
0.10433251171389207,-0.45267397413522154,0.27364527115774834,0.3259211498895963,8,2,-0.03352978807726291,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-0.4475368430457585,1
-0.5862944293910268,1.2892353714803497,0.57171890477943,0.5300851241168208,16,7,-0.006872984210014077,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-0.8015368192283991,1
-0.5862944293910268,1.0423508470761893,1.795721283234369,1.681215022262907,5,2,-0.060229978572642374,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-0.9785102586489391,0
-0.7953041561298593,-1.0210160687188967,-0.6668438748282765,-0.8720670045199742,2,2,-0.12828002160511393,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.18205013524416824,0
-0.002928787271919297,0.22255166982620436,-1.0766578079571847,-1.3717627533990768,1,2,-0.0370740611518708,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-0.4475368430457585,1
1.1933243219013103,0.7392843752010566,1.6303164528269667,2.556675711066822,6,2,-0.08433103547997604,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.8798966959621929,1
-0.5195008011212776,-0.40846137035046454,0.13643256143338015,-0.12450963773229094,6,2,-0.08669388419638131,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,-0.18205013524416824,1
